Animal_Id,Location,Fittness,Line,harvest,Weight_initial,Weight_final,Length_initial,Length_final,weight_init_std,country
10978359,Kunduchi,Adequate,Wami,Yes,47.7,131.3,11.2,18.1,0.0756569591713382,Africa
10977862,Kunduchi,Adequate,Wami,Yes,39.4,118.4,10.5,14.6,-0.3007666345898875,Africa
10977747,Kunduchi,Adequate,Wami,Yes,42.46,108.2,11.5,15.7,-0.16198877954056812,Africa
10977668,Kunduchi,Adequate,Wami,Yes,63.9,151.0,12.7,15.5,0.8103632506089107,Africa
10977971,Kunduchi,Adequate,Wami,Yes,33.45,97.5,10.4,14.0,-0.5706124638524526,Africa
10978521,Kunduchi,Adequate,Wami,Yes,91.48,97.5,14.2,14.0,2.0611780356612726,Africa
10978047,Kunduchi,Adequate,Wami,Yes,59.12,130.0,12.0,14.9,0.5935795423946145,Africa
10978466,Kunduchi,Adequate,Wami,Yes,88.89,200.4,13.2,17.1,1.943715733511685,Africa
10975865,Kunduchi,Adequate,Wami,Yes,82.1,137.9,13.0,15.0,1.635774022470875,Africa
10977890,Kunduchi,Adequate,Wami,Yes,43.25,116.7,10.7,15.0,-0.12616050977293344,Africa
10978180,Kunduchi,Adequate,Wami,Yes,61.88,169.0,12.0,16.5,0.7187517253802753,Africa
10977838,Kunduchi,Adequate,Wami,Yes,42.89,97.3,10.8,13.5,-0.14248731624932393,Africa
10977703,Kunduchi,Adequate,Wami,Yes,83.29,123.6,13.2,15.0,1.6897431883233884,Africa
10977785,Kunduchi,Adequate,Wami,Yes,63.65,132.2,12.2,15.1,0.7990251905558617,Africa
10978224,Kunduchi,Adequate,Wami,Yes,52.66,157.4,11.6,15.0,0.3006040706238293,Africa
10978313,Kunduchi,Adequate,Wami,Yes,45.1,119.0,10.9,15.0,-0.04225886538037107,Africa
10978091,Kunduchi,Adequate,Wami,Yes,49.51,105.4,11.6,14.0,0.15774451395541247,Africa
10978230,Kunduchi,Adequate,Wami,Yes,34.81,,9.9,,-0.5089334171638663,Africa
10978382,Kunduchi,Adequate,Wami,Yes,38.46,128.1,10.2,14.5,-0.3433977403893515,Africa
10977976,Kunduchi,Adequate,Wami,Yes,31.45,,9.7,,-0.6613169442768445,Africa
10977922,Kunduchi,Adequate,Wami,Yes,32.15,100.5,10.0,14.2,-0.6295703761283075,Africa
10977805,Kunduchi,Adequate,Wami,Yes,32.58,89.1,10.0,13.5,-0.6100689128370632,Africa
10978068,Kunduchi,Adequate,Wami,Yes,27.5,,9.2,,-0.8404582931150181,Africa
10978608,Kunduchi,Adequate,Wami,Yes,28.36,101.1,9.3,13.5,-0.8014553665325296,Africa
10977871,Kunduchi,Adequate,Wami,Yes,26.43,75.3,9.2,12.5,-0.8889851901420676,Africa
10978206,Kunduchi,Adequate,Wami,Yes,24.86,,9.1,,-0.9601882072752151,Africa
10978440,Kunduchi,Adequate,Wami,Yes,20.71,,9.0,,-1.1484000041558278,Africa
10978338,Kunduchi,Adequate,Wami,Yes,22.97,62.1,9.0,12.1,-1.0459039412762652,Africa
10978294,Kunduchi,Adequate,Wami,Yes,21.46,,8.5,,-1.1143858239966808,Africa
10975859,Kunduchi,Adequate,Wami,Yes,19.9,,8.5,,-1.1851353187277065,Africa
10978531,Kunduchi,Adequate,Wami,Yes,16.85,42.0,8.0,10.5,-1.3234596513749037,Africa
10978156,Kunduchi,Adequate,Wami,Yes,16.22,,8.0,,-1.3520315627085873,Africa
10978459,Kunduchi,Adequate,Wami,Yes,14.85,,7.7,,-1.4141641317992955,Africa
10978040,Kunduchi,Adequate,Chemchem,Yes,64.55,,12.7,,0.839842206746838,Africa
10978518,Kunduchi,Adequate,Chemchem,Yes,102.75,201.9,14.6,17.0,2.5722977828527194,Africa
10975249,Kunduchi,Adequate,Chemchem,Yes,96.7,166.4,14.3,16.5,2.297916729568935,Africa
10975051,Kunduchi,Adequate,Chemchem,Yes,87.31,191.8,14.0,17.0,1.8720591939764157,Africa
10975438,Kunduchi,Adequate,Chemchem,Yes,94.25,145.9,14.2,16.0,2.186803741049055,Africa
10974829,Kunduchi,Adequate,Chemchem,Yes,107.68,147.4,15.4,18.2,2.7958843270988454,Africa
10974959,Kunduchi,Adequate,Chemchem,Yes,81.08,,13.5,,1.5895147374544354,Africa
10974700,Kunduchi,Adequate,Chemchem,Yes,95.55,175.8,14.0,16.7,2.245761653324909,Africa
10975555,Kunduchi,Adequate,Chemchem,Yes,62.89,123.0,12.0,14.2,0.764557487994593,Africa
10974823,Kunduchi,Adequate,Chemchem,Yes,61.53,141.5,12.0,15.5,0.7028784413060066,Africa
10977960,Kunduchi,Adequate,Chemchem,Yes,80.05,,15.2,,1.5428019300358735,Africa
10975388,Kunduchi,Adequate,Chemchem,Yes,78.22,103.5,13.2,14.0,1.4598073304475552,Africa
10975573,Kunduchi,Adequate,Chemchem,Yes,58.84,164.1,12.0,15.0,0.5808809151351999,Africa
10974856,Kunduchi,Adequate,Chemchem,Yes,68.02,144.1,12.8,16.0,0.9972144802831575,Africa
10974943,Kunduchi,Adequate,Chemchem,Yes,64.36,140.9,12.2,15.5,0.8312252811065208,Africa
10974803,Kunduchi,Adequate,Chemchem,Yes,114.25,126.4,15.7,19.5,3.0938485452929716,Africa
10975163,Kunduchi,Adequate,Chemchem,Yes,66.83,170.1,12.5,16.0,0.9432453144306445,Africa
10974988,Kunduchi,Adequate,Chemchem,Yes,42.89,,11.0,,-0.14248731624932393,Africa
10975209,Kunduchi,Adequate,Chemchem,Yes,53.39,136.4,11.7,15.2,0.33371120597873244,Africa
10975140,Kunduchi,Adequate,Chemchem,Yes,50.53,89.7,11.5,13.0,0.20400379897185236,Africa
10975556,Kunduchi,Adequate,Chemchem,Yes,46.4,110.9,11.0,14.2,0.016699046895483405,Africa
10977796,Kunduchi,Adequate,Chemchem,Yes,40.13,111.3,10.8,14.5,-0.2676594992349844,Africa
10975510,Kunduchi,Adequate,Chemchem,Yes,55.04,122.0,11.5,14.7,0.4085424023288555,Africa
10974923,Kunduchi,Adequate,Chemchem,Yes,47.98,147.6,11.5,15.4,0.08835558643075277,Africa
10974925,Kunduchi,Adequate,Chemchem,Yes,41.2,122.5,10.5,14.1,-0.21913260220793482,Africa
